Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,353.0557,1,358.1459,s,5.0779,,360.8551,361.3516,360.3522,360.8549,359.1461,83,360.352,361.3517,361.8484,361.8484,363.4347,1205,363.4349,3,364.436,1,0,30,7,1,1.2,0.7,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,364.4365,1,364.4378,,,,367.1514,367.6479,366.6485,367.1513,365.4427,262,366.6482,367.6479,368.1449,368.145,370.4478,1363.7,370.4482,4,371.4477,1,1,31,27,1,1.2,0.7,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,371.4482,1,371.4482,,,,374.1571,374.6535,373.6541,374.1569,372.4478,78,373.6539,374.6535,375.1503,375.1505,376.5505,952,376.5508,2,377.5503,1,2,32,2,1,1.2,0.3,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,377.5507,1,377.5509,,,,380.0596,380.5559,379.5566,380.0594,378.5506,67,379.5564,380.5559,381.053,381.053,382.6832,1217.9,382.6835,4,383.683,1,3,33,16,1,1,0.7,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,383.6834,1,383.6835,,,,386.1922,386.6888,385.6894,386.192,384.6834,317,385.6892,386.6888,387.1857,387.1857,388.6282,1053.9,388.6285,4,389.6279,1,4,34,11,1,1,0.3,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,389.6285,1,389.6286,,,,392.3373,392.8337,391.8344,392.3371,390.6285,111,391.8342,392.8338,393.3306,393.3306,394.7369,1061,394.7372,2,395.7366,1,5,35,22,1,1.2,0.3,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,395.737,1,395.7371,,,,398.046,398.5422,397.54,398.0458,396.7369,160,397.5399,398.5422,399.0392,399.0393,400.7402,1307.9,400.7404,5,401.742,1,6,36,20,1,0.8,0.3,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,401.7424,1,401.7426,,,,404.6512,405.1478,404.1482,404.6511,402.7423,301,404.1481,405.1479,405.6446,405.6447,407.566,1139.3,407.5663,2,408.5657,1,7,37,8,1,1.4,0.7,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,408.5663,1,408.5664,,,,411.075,411.5715,410.572,411.0749,409.566,7,410.5718,411.5716,412.0684,412.0684,412.5594,48.8,412.5598,1,413.5591,1,8,38,1,1,1,0.3,Time
,,885939,001,,,2025-05-19_23h31.05.569,Serial_Dependence_U,2023.2.3,Win32,163.9344262,5fa97379b6ebc411c1a99fff,68224bc8a476e0f1ff0bf7fa,682ba2dc8449665590172124,,,,,,,,,,,,413.5595,1,413.5596,,,,416.6684,417.1649,416.1653,416.6683,414.5595,12,416.1652,417.165,417.6618,417.6618,419.1013,744,419.1015,1,420.098,1,9,39,4,1,1.6,0.3,Time
